role_id,name,actor,actor_id
role_fe420de5,Toppy,Frank Topham,nm0867666
role_fd275b27,Lex Luthor,Gene Hackman,nm0000432
role_78417e7c,Superman,Christopher Reeve,nm0001659
role_96d07d04,Clark Kent,Christopher Reeve,nm0001659
role_700c6b20,Otis,Ned Beatty,nm0000885
role_abe74ad1,Perry White,Jackie Cooper,nm0178114
role_5230daa4,Ursa,Sarah Douglas,nm0235243
role_3a8aabe3,Lois Lane,Margot Kidder,nm0452288
role_f76c2a47,Non,Jack O'Halloran,nm0641172
role_1cd4335d,Eve Teschmacher,Valerie Perrine,nm0674781
role_d16c7a92,Lara,Susannah York,nm0948772
role_df506885,Cole Younger,David Carradine,nm0001016
role_7514634c,Jim Younger,Keith Carradine,nm0001018
role_56709175,Bob Younger,Robert Carradine,nm0001019
role_8956f4a8,Jesse James,James Keach,nm0005077
role_78d36e18,Frank James,Stacy Keach,nm0005078
role_0dd45f36,Ed Miller,Dennis Quaid,nm0000598
role_41e71957,Clell Miller,Randy Quaid,nm0001642
role_43bd76d8,John Younger,Kevin Brophy,nm0112403
role_ebd17eb5,George Arthur,Harry Carey Jr.,nm0001013
role_1f3891a9,Charlie Ford,Christopher Guest,nm0001302
role_29cd6e46,Philo Beddoe,Clint Eastwood,nm0000142
role_1d8f26b9,Lynn Halsey-Taylor,Sondra Locke,nm0516800
role_9798bdc7,Orville,Geoffrey Lewis,nm0507212
role_eb09a6b4,Jack Wilson,William Smith,nm0807448
role_3c6bdbf1,James Beekman,Harry Guardino,nm0345340
role_11d474d5,Ma,Ruth Gordon,nm0002106
role_838b7eae,Patrick Scarfe,Michael Cavanaugh,nm0146938
role_e426d469,Fat Zack,Barry Corbin,nm0179224
role_a6353b23,Moody,Roy Jenson,nm0421772
role_7299e5ad,Dallas,Bill McKinney,nm0571853
role_83e11675,Andrew Steyn,Marius Weyers,nm0923366
role_c0c75616,Kate Thompson,Sandra Prinsloo,nm0697865
role_267f7c5f,Xi,N!xau,nm0618452
role_cf7b039c,Sam Boga,Louw Verwey,nm0895116
role_4ac99ea8,Mpudi,Michael Thys,nm0862347
role_b6efdecf,Jack Hind,Nic de Jager,nm0208910
role_2a8fee7b,Card 1,Fanyana H. Sidumo,nm0796717
role_a7db4d02,Card 2,Joe Seakatsie,nm0780494
role_b5a9569c,Mr. Thompson,Brian O'Shaughnessy,nm0642598
role_abe1035c,President,Ken Gampu,nm0304027
role_842daee4,Popeye,Robin Williams,nm0000245
role_28a8dcc9,Olive Oyl,Shelley Duvall,nm0001167
role_9e8bfbf0,Poopdeck Pappy,Ray Walston,nm0001827
role_9ff887f5,Wimpy,Paul Dooley,nm0233209
role_8609dc6c,Bluto,Paul L. Smith,nm0809544
role_985534ed,Geezil,Richard Libertini,nm0508844
role_594b7a45,The Taxman,Donald Moffat,nm0595567
role_6b10cfc4,Cole Oyl,MacIntyre Dixon,nm0228912
role_cad2a873,Nana Oyl,Roberta Maxwell,nm0561809
role_dfdc0c19,Castor Oyl,Donovan Scott,nm0779073
role_1c142da2,Calvin Jarrett,Donald Sutherland,nm0000661
role_42cda309,Beth Jarrett,Mary Tyler Moore,nm0001546
role_c468aca3,Dr. Tyrone Berger,Judd Hirsch,nm0002139
role_3c3a160a,Conrad Jarrett,Timothy Hutton,nm0000459
role_3863f5e3,Salan - The Swim Coach,M. Emmet Walsh,nm0001826
role_32213c57,Jeannine Pratt,Elizabeth McGovern,nm0001527
role_4f2ad6de,Karen,Dinah Manoff,nm0001503
role_51d6b4da,Joe Lazenby,Fredric Lehne,nm0499791
role_e8b9d522,Ray,James Sikking,nm0797725
role_38c2d621,Sloan,Basil Hoffman,nm0388819
role_f388d2be,Dr. Robert Elliott,Michael Caine,nm0000323
role_c52694f1,Kate Miller,Angie Dickinson,nm0001141
role_f6044e20,Liz Blake,Nancy Allen,nm0000262
role_c77d2cc6,Peter Miller,Keith Gordon,nm0330360
role_b5ae14b6,Detective Marino,Dennis Franz,nm0001240
role_440248e8,Dr. Levy,David Margulies,nm0546868
role_9b8e5ba8,Warren Lockman,Ken Baker,nm0048643
role_27fcee9c,Betty Luce,Susanna Clemm,nm0166290
role_5bc202c3,Cleveland Sam,Brandon Maggart,nm0535933
role_9c54ce99,Cleaning Woman,Amalie Collier,nm0171876
role_88ba112f,Richard Collier,Christopher Reeve,nm0001659
role_84e82f5c,Elise McKenna,Jane Seymour,nm0005412
role_a365f260,W. F. Robinson,Christopher Plummer,nm0001626
role_3192b80f,Laura Roberts,Teresa Wright,nm0942863
role_1035737a,Arthur Biehl,Bill Erwin,nm0259984
role_421ea37e,Dr. Gerald Finney,George Voskovec,nm0903667
role_b4171a6f,Older Elise,Susan French,nm0294215
role_5e751c3f,Arthur's Father,John Alvin,nm0023569
role_c58d4862,Genevieve,Eddra Gale,nm0301841
role_65830bc0,Richard's Date (1972),Audrey Bennett,nm0071599
role_e0d6bd9c,Angelo,Eddie Barth,nm0058532
role_9567346e,Coco,Irene Cara,nm0001011
role_1503da70,Bruno,Lee Curreri,nm0001087
role_aa490a64,Lisa,Laura Dean,nm0212847
role_a05f06b7,Hilary,Antonia Franceschi,nm0289900
role_1a7404eb,Michael,Boyd Gaines,nm0301305
role_07e6f0a8,Shorofsky,Albert Hague,nm0353831
role_6c7d6979,Mrs. Finsecker,Tresa Hughes,nm0400955
role_f96b4f06,François Lafete,Steve Inwood,nm0409481
role_da44e697,Montgomery,Paul McCrane,nm0005204
role_7424cb91,Stevie Wayne,Adrienne Barbeau,nm0000105
role_2cebe834,Elizabeth Solley,Jamie Lee Curtis,nm0000130
role_bb72e168,Kathy Williams,Janet Leigh,nm0001463
role_e496ce22,Mr. Machen,John Houseman,nm0002144
role_415ce12f,Nick Castle,Tom Atkins,nm0040662
role_e57430ea,Dick Baxter,James Canning,nm0134110
role_4c398062,Dan O'Bannon,Charles Cyphers,nm0194234
role_e2dcc79c,Sandy Fadel,Nancy Kyes,nm0477341
role_6b5475cd,Andy Wayne,Ty Mitchell,nm0593792
role_d8b7a1b0,Father Malone,Hal Holbrook,nm0001358
role_271630a7,Skip Donahue,Gene Wilder,nm0000698
role_efa5f625,Harry Monroe,Richard Pryor,nm0001640
role_8e68dada,Rory Schultebrand,Georg Stanford Brown,nm0113617
role_da3736b5,Meredith,JoBeth Williams,nm0001851
role_e129b600,Jesus Ramirez,Miguel Ángel Suárez,nm0840822
role_dd0486f5,Deputy Ward Wilson,Craig T. Nelson,nm0005266
role_9e4afad5,Warden Walter Beatty,Barry Corbin,nm0179224
role_e14a960b,Blade,Charles Weldon,nm0919714
role_42ad24f8,Warden Henry Sampson,Nicolas Coster,nm0182661
role_1089bfe3,Len Garber,Joel Brooks,nm0112063
role_0821a21a,Steve Burns,Al Pacino,nm0000199
role_43f93b98,Capt. Edelson,Paul Sorvino,nm0000649
role_3405bfd3,Nancy,Karen Allen,nm0000261
role_27f09075,Stuart Richards,Richard Cox,nm0185210
role_edbd9558,Ted Bailey,Don Scardino,nm0769135
role_6791d13e,Patrolman DiSimone,Joe Spinell,nm0818874
role_fad4ca32,Skip Lee,Jay Acovone,nm0010264
role_f915d661,Det. Lefransky,Randy Jurgensen,nm0432921
role_6473b121,Dr. Rifkin,Barton Heyman,nm0382263
role_dd2fe6e5,DaVinci,Gene Davis,nm0204634
role_d45005d2,Averill,Kris Kristofferson,nm0001434
role_7c3d5efb,Champion,Christopher Walken,nm0000686
role_3520a4e9,Irvine,John Hurt,nm0000457
role_808d0363,Canton,Sam Waterston,nm0001832
role_735d92ea,Mr. Eggleston,Brad Dourif,nm0000374
role_d3e32177,Ella,Isabelle Huppert,nm0001376
role_185c37b9,The Reverend Doctor,Joseph Cotten,nm0001072
role_df61840e,John L. Bridges,Jeff Bridges,nm0000313
role_6a611d3f,Wolcott,Ronnie Hawkins,nm0370214
role_33ef9094,Mayor Lezak,Paul Koslo,nm0467178
role_e96603c7,Capt. Matthew Yelland,Kirk Douglas,nm0000018
role_408f74f1,Warren Lasky,Martin Sheen,nm0000640
role_cc6f64f9,Laurel Scott,Katharine Ross,nm0001684
role_45561ace,Cdr. Richard Owens,James Farentino,nm0267232
role_eac2c3ea,Mr.Tideman,James Farentino,nm0267232
role_bc7f9f04,Cdr. Dan Thurman,Ron O'Neal,nm0641938
role_73657331,Sen. Samuel Chapman,Charles Durning,nm0001164
role_1c9fbf04,Black Cloud,Victor Mohica,nm0595991
role_2da761f8,Lt. Perry,James Coleman,nm0171061
role_a43198a9,Simura,Soon-Tek Oh,nm0644902
role_83b45a54,Kira,Olivia Newton-John,nm0000556
role_4de624b3,Danny McGuire,Gene Kelly,nm0000037
role_473f2fab,Sonny Malone,Michael Beck,nm0065235
role_57baa21a,Simpson,James Sloyan,nm0806277
role_a9cf8f70,Helen,Dimitra Arliss,nm0035195
role_36e79bab,Sandra,Katie Hanley,nm0360088
role_8c804a48,Richie,Fred McCarren,nm0564985
role_793f1c76,Jo,Renn Woods,nm0940758
role_13ad215f,Muse #1,Sandahl Bergman,nm0000922
role_5e56126d,Muse #2,Lynne Latham,nm0004263
role_d095d4e7,Bud Davis,John Travolta,nm0000237
role_e49e4be8,Sissy,Debra Winger,nm0000700
role_9c3bc685,Wes Hightower,Scott Glenn,nm0001277
role_babddbbf,Pam,Madolyn Smith Osborne,nm0001750
role_ece6abec,Bob Davis,Barry Corbin,nm0179224
role_c61695f6,Corene Davis,Brooke Alderson,nm0017574
role_1b8e6c34,Marshall,Cooper Huckabee,nm0399590
role_17f5bd73,Steve Strange,James Gammon,nm0304000
role_b5419d7e,Mickey Gilley,Mickey Gilley,nm0319076
role_05316fbc,Johnny Lee,Johnny Lee,nm0496739
role_b5c1f8b0,Eddie Jessup,William Hurt,nm0000458
role_6701ee95,Emily Jessup,Blair Brown,nm0001974
role_d5291b8c,Arthur Rosenberg,Bob Balaban,nm0000837
role_7a1c5c1a,Mason Parrish,Charles Haid,nm0354024
role_c8f39f7d,Eccheverria,Thaao Penghlis,nm0671837
role_dedd95f0,Primal Man,Miguel Godreau,nm0324196
role_5363df02,Sylvia Rosenberg,Dori Brenner,nm0107467
role_7b1429b4,Hobart,Peter Brandon,nm0104793
role_a579c326,The Brujo,Charles White-Eagle,nm0925618
role_67dde1ac,Margaret Jessup,Drew Barrymore,nm0000106
role_27852283,Ferris,Tatum O'Neal,nm0001575
role_daaf450c,Angel,Kristy McNichol,nm0001531
role_9e2d9b3d,Gary,Armand Assante,nm0000800
role_b4ea4ae4,Randy,Matt Dillon,nm0000369
role_8820514b,Ms. Bright,Margaret Blye,nm0089984
role_47595d51,Mr. Whitney,Nicolas Coster,nm0182661
role_a84a3b55,Cinder,Krista Errickson,nm0259799
role_07be5ba2,Dana,Alexa Kenin,nm0447782
role_b3fa6998,Chubby,Abby Bluestone,nm0089579
role_fb2f6802,Sunshine,Cynthia Nixon,nm0633223
role_0e7c09e2,Admr. James Sandecker,Jason Robards,nm0001673
role_5bf19bcd,Dirk Pitt,Richard Jordan,nm0430151
role_546c5594,Dr. Gene Seagram,David Selby,nm0782978
role_6497f01c,Dana Archibald,Anne Archer,nm0000271
role_3f49d2ab,John Bigalow,Alec Guinness,nm0000027
role_7640e3d8,Captain Prevlov,Bo Brundin,nm0116066
role_65a1a909,MCPO Vinnie Walker,M. Emmet Walsh,nm0001826
role_b9dabf18,Capt. Joe Burke,J.D. Cannon,nm0134201
role_83c255bc,Admiral Kemper,Norman Bartold,nm0058991
role_2fb2e7af,Marganin,Elya Baskin,nm0059946
role_ea762200,Henry Brubaker,Robert Redford,nm0000602
role_db98d211,Richard 'Dickie' Coombes,Yaphet Kotto,nm0001433
role_8aa3a7bf,Lillian Gray,Jane Alexander,nm0000737
role_08b43f7c,John Deach,Murray Hamilton,nm0358069
role_25419270,Larry Lee Bullen,David Keith,nm0001418
role_392ba1d7,Walter,Morgan Freeman,nm0000151
role_dbde72d6,Roy Purcell,Matt Clark,nm0164273
role_1249df18,Huey Rauch,Tim McIntire,nm0532838
role_14f4768d,Abraham Cook,Richard Ward,nm0911797
role_30e8f94d,Zaranska,Jon Van Ness,nm0887551
role_064cb960,Julian,Richard Gere,nm0000152
role_03471025,Michelle,Lauren Hutton,nm0001381
role_5959de2c,Sunday,Hector Elizondo,nm0001185
role_21f77c5f,Anne,Nina van Pallandt,nm0887684
role_f7c2f596,Leon,Bill Duke,nm0004886
role_edc95964,Charles Stratton,Brian Davies,nm0203617
role_a05306f8,Lisa Williams,K Callan,nm0130282
role_82d0d80e,Mr. Rheiman,Tom Stewart,nm0829872
role_dcdb16fb,Judy Rheiman,Patricia Carr,nm0139823
role_f6d7d726,Lt. Curtis,David Cryer,nm0190541
role_e94b6768,Clifford,Chris Makepeace,nm0538485
role_8b82c47e,Linderman,Adam Baldwin,nm0000284
role_c0d66906,Moody,Matt Dillon,nm0000369
role_398b238f,Carson,Paul Quandt,nm0702861
role_85c660f9,Mike,Hank Salas,nm0757591
role_9d32244b,Shelley,Joan Cusack,nm0000349
role_5dcde425,Hightower,Dean R. Miller,nm0588213
role_54e2fec0,Koontz,Tim Reyna,nm0721502
role_1f7adb58,Dubrow,Richard Bradley,nm0103379
role_b4f19b3e,Leilani,Denise Baske,nm0059922
role_0392a341,Mr. Hammond,Leslie Nielsen,nm0000558
role_86cd2177,Kimberly Hammond,Jamie Lee Curtis,nm0000130
role_0fa79bda,Nick McBride,Casey Stevens,nm0828309
role_f394d7ff,Wendy Richards,Anne-Marie Martin,nm0551926
role_60cd5488,Mrs. Hammond,Antoinette Bower,nm0100949
role_44cc42da,Alex Hammond,Michael Tough,nm0869517
role_47a59143,Mr. Sykes,Robert A. Silverman,nm0798887
role_409c7a44,Vicki,Pita Oliver,nm0646964
role_c4843344,Lou Farmer,David Mucci,nm0610820
role_ec24e122,Drew Shinnick,Jeff Wincott,nm0934637
role_74bb311b,Bandit,Burt Reynolds,nm0000608
role_d8d69fe9,Sheriff Buford T. Justice,Jackie Gleason,nm0001276
role_f61dcb65,Gaylord Justice,Jackie Gleason,nm0001276
role_640def70,Reginald Van Justice,Jackie Gleason,nm0001276
role_7e98780e,Cledus,Jerry Reed,nm0715274
role_8b5dfeaa,Doc,Dom DeLuise,nm0001123
role_2ecb3e29,Carrie,Sally Field,nm0000398
role_ca4c2931,Little Enos,Paul Williams,nm0931435
role_e43f57b7,Big Enos,Pat McCormick,nm0566588
role_c274d0a4,John Conn,David Huddleston,nm0399663
role_d81bc537,Bill Dalton,Scott Glenn,nm0001277
role_647a1634,Red Buck,Redmond Gleeson,nm0322439
role_bef66c03,Little Dick Raidler,William Russ,nm0750916
role_e9c99724,George Weightman,Kenny Call,nm0130100
role_56397158,Bittercreek Newcomb,John Savage,nm0001698
role_f72f6a41,Dynamite Dick,Buck Taylor,nm0852076
role_863ea8cf,Engineer,Michael Conrad,nm0175700
role_cf28bf3e,Annie,Amanda Plummer,nm0001625
role_34280796,Jenny - 'Little Britches',Diane Lane,nm0000178
role_e954cb3d,Bill Doolin,Burt Lancaster,nm0000044
role_d99b119a,Glenda Parks,Goldie Hawn,nm0000443
role_d5e612f4,Nicholas Gardenia,Chevy Chase,nm0000331
role_7da8a8b9,Ira Parks,Charles Grodin,nm0001301
role_7c917466,Fred,Robert Guillaume,nm0347039
role_d473a000,Judge John Channing,Harold Gould,nm0332390
role_be330371,Governor,George Grizzard,nm0342732
role_336a6fde,Aurora De La Hoya,Yvonne Wilder,nm0928648
role_62d172ce,Chester,T.K. Carter,nm0141953
role_d465b477,Dex,Judd Omen,nm0648381
role_cbc3dcaf,Bee Gee,Marc Alaimo,nm0015826
role_d3ee2137,Judy Benjamin,Goldie Hawn,nm0000443
role_848a9cef,Capt. Doreen Lewis,Eileen Brennan,nm0107281
role_d2eedceb,Henrí Trémont,Armand Assante,nm0000800
role_9a37804b,Col. Clay Thornbush,Robert Webber,nm0916433
role_cd1b97a2,Teddy Benjamin,Sam Wanamaker,nm0910737
role_3e20cc59,Harriet Benjamin,Barbara Barrie,nm0057363
role_bca7ce76,Pvt. Mary Lou Glass,Mary Kay Place,nm0005316
role_83303285,Sgt. Jim Ballard,Harry Dean Stanton,nm0001765
role_7a1723c0,Yale Goodman,Albert Brooks,nm0000983
role_e45a61f3,Rabbi,Alan Oppenheimer,nm0649178
role_f8c23151,Earle,Julius Averitt,nm0042976
role_3f9511e9,Mechanic,Steve Ballard,nm0050673
role_4fc74c06,Homeowner,Phil Berle,nm0075540
role_28731305,Pledge,Mike Binder,nm0082802
role_6d344b6a,Homeowner,Herbert Bress,nm0107775
role_6ae5d951,Driving Instructor,Jerry Brutsche,nm0116779
role_806d52f6,Pledge,Joey Camen,nm0131436
role_b99d8946,Do Wopper,T.K. Carter,nm0141953
role_f9901fb4,Do Wopper,Al Chalk,nm0149940
role_d87df6fc,PomPom Girl,Dawn Clark,nm0163847
role_88886788,Vincent Smith,Rory Calhoun,nm0001983
role_c93e0f75,Bruce Smith,Paul Linke,nm0512912
role_47310214,Ida Smith,Nancy Parsons,nm0663878
role_601f0ae5,Terry,Nina Axelrod,nm0043497
role_2667eba2,Reverend Billy,Wolfman Jack,nm0413125
role_869abc6b,Edith Olson,Elaine Joyce,nm0431519
role_a695409e,Guy Robaire,Dick Curtis,nm0193318
role_ddd1d9c6,1st T.V. Preacher,Dick Curtis,nm0193318
role_91fd4892,Debbie,Monique St. Pierre,nm0820811
role_96075192,Suzi,Rosanne Katon,nm0441423
role_fa708442,Jess Robin,Neil Diamond,nm0004871
role_cf64c8b2,Yussel Rabinovitch,Neil Diamond,nm0004871
role_47c74cbd,Cantor Rabinovitch,Laurence Olivier,nm0000059
role_821a1c8e,Molly Bell,Lucie Arnaz,nm0036109
role_816a8759,Rivka Rabinovitch,Catlin Adams,nm0010818
role_134fab06,Bubba,Franklyn Ajaye,nm0014977
role_36f5efff,Keith Lennox,Paul Nicholas,nm0629417
role_bec26bb2,Eddie Gibbs,Sully Boyar,nm0101604
role_1c6bc652,Leo,Mike Kellin,nm0446037
role_ebc70de5,Paul Rossini,James Booth,nm0095718
role_a869652a,Loretta Lynn,Sissy Spacek,nm0000651
role_5122bb98,Doolittle Lynn,Tommy Lee Jones,nm0000169
role_f382fbfa,Ted Webb,Levon Helm,nm0375629
role_eb5dea12,'Clary' Webb,Phyllis Boyens,nm0101992
role_7d5137d2,Webb Child,Bill Anderson Jr.,nm0026286
role_321b202d,Webb Child,Foister Dickerson,nm0225417
role_d07070a7,Webb Child,Malla McCown,nm0566685
role_df8724a6,Webb Child,Pamela McCown,nm0566687
role_208120c2,Webb Child,Kevin Salvilla,nm0759467
role_923a890c,Lee Dollarhide,William Sanderson,nm0761836
role_46f07625,Mrs. Aylwood,Bette Davis,nm0000012
role_d97bd81b,Jan Curtis,Lynn-Holly Johnson,nm0000468
role_6108ebad,Ellie Curtis,Kyle Richards,nm0724201
role_51d69093,Helen Curtis,Carroll Baker,nm0004647
role_eda8e00f,Paul Curtis,David McCallum,nm0564724
role_1a0f4975,Mike Fleming,Benedict Taylor,nm0852028
role_2fcded35,Mary Fleming,Frances Cuka,nm0191311
role_41610d1f,Tom Colley,Richard Pasco,nm0664390
role_af1c6ffa,John Keller,Ian Bannen,nm0000846
role_bb105c2c,Karen Aylwood,Katharine Levy,nm0506496
role_dd69a2a9,Harry 'Breaker' Morant,Edward Woodward,nm0940919
role_7b9739d7,Major J.F. Thomas,Jack Thompson,nm0860233
role_ed13fe29,Cpt. Alfred Taylor,John Waters,nm0000691
role_1d5c5f6b,Lt. Peter Handcock,Bryan Brown,nm0000986
role_d245c76c,Lt. Col. Denny,Charles 'Bud' Tingwell,nm0863968
role_6b24478c,Cpt. Simon Hunt,Terence Donovan,nm0233065
role_e0d5ac0e,Col. Ian (Johnny) Hamilton,Vincent Ball,nm0050482
role_09752efd,Sar. Maj. Drummond,Ray Meagher,nm0575114
role_6af99a48,Cpl. Sharp,Chris Haywood,nm0371824
role_754e1795,Christiaan Botha,Russell Kiefel,nm0452352
role_73b885ee,Eli Cross,Peter O'Toole,nm0000564
role_43b7ef0d,Cameron,Steve Railsback,nm0706883
role_95ccd18e,Nina Franklin,Barbara Hershey,nm0001347
role_3066b8b6,Sam,Allen Garfield,nm0307255
role_99a648b0,Jake,Alex Rocco,nm0733678
role_9cc7eaec,Denise,Sharon Farrell,nm0268331
role_e4c2b0b4,Raymond Bailey,Adam Roarke,nm0730126
role_887cbedc,Ace,Philip Bruns,nm0116575
role_23604b4e,Chuck Barton,Charles Bail,nm0047094
role_ffad0c4f,Gabe - Eli's Cameraman,John Garwood,nm0217953
role_8522cac5,Lazlo,Peter Boyle,nm0001967
role_25403a8f,Hunter S. Thompson,Bill Murray,nm0000195
role_5ce8523f,Marty Lewis,Bruno Kirby,nm0456124
role_57519597,Harris,Rene Auberjonois,nm0041281
role_490ed224,Judge Simpson,R.G. Armstrong,nm0035866
role_1918e2f5,Porter,Danny Goldman,nm0325761
role_8ce5caf0,Rojas,Rafael Campos,nm0133310
role_7a584c53,Desk Clerk,Leonard Frey,nm0294600
role_e235157b,Super Fan,Leonard Gaines,nm0301334
role_13ccc368,Man #1,Otis Day,nm0422221
role_263a0452,Florence Cathcart,Rebecca Hall,nm0356017
role_eb65b0ee,Robert Mallory,Dominic West,nm0922035
role_91a74d91,Maud Hill,Imelda Staunton,nm0001767
role_c4f99fad,Tom Hill,Isaac Hempstead Wright,nm3652842
role_cb228da5,Malcolm McNair,Shaun Dooley,nm0233215
role_183b6a80,Edward Judd,Joseph Mawle,nm1152798
role_7f48f699,Harriet Cathcart,Diana Kent,nm0448712
role_20f725f3,Alexander Cathcart,Richard Durden,nm0243983
role_ff026f9d,Reverend Hugh Purslow,John Shrapnel,nm0795344
role_1fdb2d52,Freddie Strickland,Cal MacAninch,nm0531229
role_e44e8f64,Cheech,Cheech Marin,nm0001507
role_898fe96d,Dwayne 'Red' Mendoza,Cheech Marin,nm0001507
role_5e7155a8,Chong,Tommy Chong,nm0001045
role_f468e35f,Donna,Evelyn Guerrero,nm0346186
role_a7e270c3,Candy,Betty Kennedy,nm0447926
role_44f1627a,Mr. Neatnik,Sy Kramer,nm0469680
role_f2920acb,Gloria,Rikki Marin,nm0547499
role_e63d3491,Gay Motorcyclist,Peter Bromilow,nm0111325
role_f734a822,Executive,Paul 'Mousie' Garner,nm0307063
role_b92971d6,Music Store Salesman,Jonathan T. Moore,nm6512202
role_ebff7665,Lincoln Six Echo,Ewan McGregor,nm0000191
role_a3258416,Tom Lincoln,Ewan McGregor,nm0000191
role_1c62ff60,Jordan Two Delta,Scarlett Johansson,nm0424060
role_89aac0b1,Sarah Jordan,Scarlett Johansson,nm0424060
role_edd216b5,Albert Laurent,Djimon Hounsou,nm0005023
role_e5e813a8,Dr. Bernard Merrick,Sean Bean,nm0000293
role_714259f9,James McCord,Steve Buscemi,nm0000114
role_b59c4408,Starkweather Two Delta,Michael Clarke Duncan,nm0003817
role_d6ac11b0,Jamal Starkweather,Michael Clarke Duncan,nm0003817
role_9d8718de,Jones Three Echo,Ethan Phillips,nm0680392
