role_id,name,actor,actor_id
role_8a1a9474,Jack Torrance,Jack Nicholson,nm0000197
role_7eacdbd5,Wendy Torrance,Shelley Duvall,nm0001167
role_5cc331ad,Danny,Danny Lloyd,nm0515950
role_ddd2e574,Hallorann,Scatman Crothers,nm0001079
role_8e711e50,Ullman,Barry Nelson,nm0625167
role_9db2befa,Grady,Philip Stone,nm0832104
role_1d8b6e60,Lloyd,Joe Turkel,nm0877185
role_0b5d91ce,Doctor,Anne Jackson,nm0413271
role_9b8a9968,Durkin,Tony Burton,nm0123748
role_f1e04929,Young Woman in Bath,Lia Beldam,nm0067672
role_a34b3796,Emmeline Lestrange,Brooke Shields,nm0000222
role_a823a0b7,Richard Lestrange,Christopher Atkins,nm0000803
role_4eee1d9c,Paddy Button,Leo McKern,nm0571674
role_05c7c389,Arthur Lestrange,William Daniels,nm0200122
role_47aaea19,Young Emmeline,Elva Josephson,nm0430745
role_57503879,Young Richard,Glenn Kohan,nm0463174
role_cbdb84d9,Captain,Alan Hopgood,nm0394086
role_bd5c2433,Officer,Gus Mercurio,nm0580517
role_69148dec,Lookout,Jeffrey Kleiser,nm0459165
role_6a464580,Little Paddy,Bradley Pryce,nm0699333
role_6468f691,Luke Skywalker,Mark Hamill,nm0000434
role_cc905e83,Han Solo,Harrison Ford,nm0000148
role_d6db7bac,Princess Leia,Carrie Fisher,nm0000402
role_0e1efd09,Lando Calrissian,Billy Dee Williams,nm0001850
role_a5d9bad5,C-3PO,Anthony Daniels,nm0000355
role_3ae4d244,Darth Vader,David Prowse,nm0001190
role_89975d80,Chewbacca,Peter Mayhew,nm0562678
role_b0beae89,R2-D2,Kenny Baker,nm0048652
role_1238da23,Yoda,Frank Oz,nm0000568
role_200de4a1,Ben (Obi-Wan) Kenobi,Alec Guinness,nm0000027
role_59f37470,Roger Murdock,Kareem Abdul-Jabbar,nm0000717
role_9958f410,Steve McCroskey,Lloyd Bridges,nm0000978
role_0569b62d,Captain Clarence Oveur,Peter Graves,nm0336335
role_246e6c36,Elaine Dickinson,Julie Hagerty,nm0353546
role_f54f6f1d,Ted Striker,Robert Hays,nm0001332
role_a8efc34b,Dr. Rumack,Leslie Nielsen,nm0000558
role_706289ee,Randy,Lorna Patterson,nm0666309
role_9301292a,Captain Rex Kramer,Robert Stack,nm0821041
role_d9794bad,Johnny Henshaw-Jacobs,Stephen Stucker,nm0835992
role_e6bff2df,Otto,Otto,nm10185194
role_56c51f61,Ty Webb,Chevy Chase,nm0000331
role_2179b254,Al Czervik,Rodney Dangerfield,nm0001098
role_d8c0a4a5,Judge Elihu Smails,Ted Knight,nm0461095
role_517457d4,Danny Noonan,Michael O'Keefe,nm0001574
role_42ca669d,Carl Spackler,Bill Murray,nm0000195
role_b7da3586,Maggie O'Hooligan,Sarah Holcomb,nm0390106
role_19d5421f,Tony D'Annunzio,Scott Colomby,nm0173082
role_ed2e0c5b,Lacey Underall,Cindy Morgan,nm0604563
role_bd8a8a33,Dr. Beeper,Dan Resin,nm0720274
role_f78ac029,The Bishop,Henry Wilcoxon,nm0928295
role_2f52680f,Mrs. Voorhees,Betsy Palmer,nm0658133
role_a3b8beb2,Alice,Adrienne King,nm0454415
role_557c359d,Marcie,Jeannine Taylor,nm0852551
role_a0326737,Annie,Robbi Morgan,nm0604987
role_9d49283f,Jack,Kevin Bacon,nm0000102
role_f9015bd9,Bill,Harry Crosby,nm0188993
role_902ab6fc,Brenda,Laurie Bartram,nm0059324
role_235ff370,Ned,Mark Nelson,nm0625588
role_344b1fb1,Steve Christy,Peter Brouwer,nm0112829
role_5e229dfd,The Truck Driver,Rex Everhart,nm0263591
role_4c678845,Prison Guard,Tom Erhart,nm0258931
role_8c78b826,Prison Guard,Gerald Walling,nm0909212
role_8375555b,Joliet Jake,John Belushi,nm0000004
role_86e16fcf,Prison Guard,Walter Levine,nm0505979
role_dabd400d,Corrections Officer,Frank Oz,nm0000568
role_5af42991,Elwood,Dan Aykroyd,nm0000101
role_61d4d28b,Sister Mary Stigmata,Kathleen Freeman,nm0293466
role_6dbb69ee,Curtis,Cab Calloway,nm0130572
role_fb64f8e5,Choirmaster,Alonzo Atkins,nm0040551
role_3dfff12d,Reverend Cleophus James,James Brown,nm0113768
role_7ab6e38e,Jake La Motta,Robert De Niro,nm0000134
role_6b7d3500,Vickie La Motta,Cathy Moriarty,nm0001550
role_26b9858c,Joey,Joe Pesci,nm0000582
role_04936fba,Salvy,Frank Vincent,nm0898634
role_e757da74,Tommy Como,Nicholas Colasanto,nm0170225
role_c64ac655,Lenore,Theresa Saldana,nm0757854
role_2ce8758d,Mario,Mario Gallo,nm0002869
role_8dfd5225,Patsy,Frank Adonis,nm0012376
role_ad80056d,Guido,Joseph Bono,nm0095114
