actor_id,name,birth_year,death_year,primary_profession,known_for_titles
nm0000197,Jack Nicholson,1937,\N,"actor,producer,writer","tt0071315,tt0119822,tt0407887,tt0073486"
nm0001167,Shelley Duvall,1949,\N,"actress,producer,writer","tt0081505,tt0075612,tt0081353,tt0075686"
nm0515950,Danny Lloyd,1972,\N,"actor,archive_footage","tt0081505,tt5606664,tt0084908,tt0199184"
nm0001079,Scatman Crothers,1910,1986,"actor,soundtrack,archive_footage","tt0081505,tt0073486,tt0086491,tt0065421"
nm0625167,Barry Nelson,1917,2007,"actor,soundtrack,archive_footage","tt0081505,tt0065377,tt0035959,tt0049212"
nm0832104,Philip Stone,1924,2003,"actor,archive_footage","tt0081505,tt0066921,tt0087469,tt0080745"
nm0877185,Joe Turkel,1927,2022,"actor,archive_footage","tt0081505,tt0083658,tt0050825,tt0049406"
nm0413271,Anne Jackson,1925,2016,"actress,producer,archive_footage","tt0081505,tt0065642,tt0831400,tt0066605"
nm0123748,Tony Burton,1937,2016,"actor,archive_footage","tt0074156,tt0075148,tt0479143,tt0089927"
nm0067672,Lia Beldam,1944,2021,"actress,archive_footage",tt0081505
nm0000222,Brooke Shields,1965,\N,"actress,producer,director","tt0080453,tt0078111,tt0080116,tt0082329"
nm0000803,Christopher Atkins,1961,\N,"actor,writer,producer","tt0080453,tt0084504,tt0086011,tt0493406"
nm0571674,Leo McKern,1920,2002,"actor,director,writer","tt0089457,tt0080453,tt0060665,tt0063599"
nm0200122,William Daniels,1927,\N,"actor,director,soundtrack","tt0083483,tt0061722,tt0080453,tt0068156"
nm0430745,Elva Josephson,1973,\N,"actress,archive_footage","tt0080453,tt0083598,tt0084259,tt0086720"
nm0463174,Glenn Kohan,1969,\N,"actor,archive_footage",tt0080453
nm0394086,Alan Hopgood,1934,2022,"actor,writer,script_department","tt0448011,tt0080453,tt0077064,tt0088580"
nm0580517,Gus Mercurio,1928,2010,"actor,writer,stunts","tt0080453,tt0092493,tt0108215,tt0084296"
nm0459165,Jeffrey Kleiser,\N,\N,"visual_effects,director,actor","tt0080453,tt0111282,tt0120903,tt0120667"
nm0699333,Bradley Pryce,\N,\N,actor,tt0080453
nm0000434,Mark Hamill,1951,\N,"actor,producer,director","tt0076759,tt2527336,tt0080684,tt0086190"
nm0000148,Harrison Ford,1942,\N,"actor,writer,producer","tt0082971,tt0106977,tt0076759,tt0090329"
nm0000402,Carrie Fisher,1956,2016,"actress,miscellaneous,writer","tt0076759,tt2527336,tt0080684,tt0086190"
nm0001850,Billy Dee Williams,1937,\N,"actor,writer,soundtrack","tt0080684,tt0086190,tt4116284,tt2527338"
nm0000355,Anthony Daniels,1946,\N,"actor,producer,writer","tt2488496,tt2527336,tt0076759,tt0080684"
nm0001190,David Prowse,1935,2020,"actor,miscellaneous,archive_footage","tt0076759,tt0086190,tt0066921,tt0080684"
nm0562678,Peter Mayhew,\N,\N,"editor,editorial_department,producer","tt0051542,tt0052805,tt0052172,tt0075868"
nm0048652,Kenny Baker,1934,2016,"actor,miscellaneous,soundtrack","tt0081633,tt0121766,tt0080678,tt0080684"
nm0000568,Frank Oz,1944,\N,"actor,miscellaneous,director","tt0074028,tt0080684,tt0086190,tt0121765"
nm0000027,Alec Guinness,1914,2000,"actor,writer,soundtrack","tt0076759,tt0050212,tt0041546,tt0051739"
nm0000717,Kareem Abdul-Jabbar,1947,\N,"actor,producer,writer","tt0080339,tt11564570,tt0089155,tt0113097"
nm0000978,Lloyd Bridges,1913,1998,"actor,director,soundtrack","tt0107144,tt0083530,tt0080339,tt0102059"
nm0336335,Peter Graves,1926,2010,"actor,director,soundtrack","tt0046359,tt0080339,tt0060009,tt0048424"
nm0353546,Julie Hagerty,1955,\N,"actress,soundtrack,archive_footage","tt0240515,tt7653254,tt0083530,tt0080339"
