company_id,name
com_3023610d,"""DIA"" Productions GmbH & Co. KG"
com_ed032e3a,"""Weathering With You"" Film Partners"
com_9b1a115a,.406 Production
com_df463d46,1+2 Seisaku Iinkai
com_e8fea585,10 West Studios
com_c59f228e,120 Films
com_8c3af4ef,120dB Films
com_6a528df6,13 Productions
com_f7429ef6,1492 Pictures
com_b41b3d97,1818 Productions
com_de4c07c0,19 Entertainment
com_b8fe5977,1978 Films
com_463e120d,1984 Private Defense Contractors
com_1bd27214,1992 Number Four Limited Partnership
com_69188ac5,2 Loop Films
com_e20c15db,2.0 Entertainment
com_666f556c,2.4.7. Films
com_2444a371,2003 Productions
com_d71231db,20th Century Studios
com_1396c91b,21 Laps Entertainment
com_83252ca7,21st Century Film Corporation
com_df873d0d,21st Century Films
com_415b4a3b,25th Hour Productions
com_9dbf5a9a,26 Films
com_abef7da4,2929 Productions
com_c9ecf0fc,2DUX²
com_7f216a62,3 Arts Entertainment
com_e796c892,3 Miles Apart Productions Ltd.
com_e11891f1,3311 Productions
com_8ada76d7,360 Pictures
com_4d6a9613,391 Productions
com_cc03e893,3B Productions
com_5d3d5ca1,3Mark Entertainment
com_c26a6dae,4 1/2 Film
com_d0f76832,4 Kids Entertainment
com_c5cd6cdd,40 Acres & A Mule Filmworks
com_e8335823,49th Parallel Productions
com_3ce9e2c7,4Kids Entertainment
com_99876406,4k Films
com_7e0443b3,7 Arts International
com_0fd53cfa,7 Films Cinéma
com_1902ab05,7DM Studios
com_69cab583,8383 Productions
com_bc6cc276,88 Productions
com_55508051,888 Productions
com_8dd0f78a,900 Films
com_837bd735,98 MPH Productions
com_9e4c755b,A Band Apart
com_2da3398c,A Bigger Boat
com_de623615,A Hot Dog
com_a568ceb0,A Lucky Old Sun Production
com_63650751,A&M Films
com_3579aad1,A.M.A. Film
com_4c1af6c8,A24
com_729f0bf9,ABC Animation
com_4db20233,ABC Entertainment
com_d28b66c4,ABC Motion Pictures
com_1b0462b1,ABC Productions
com_c7b623aa,ABS-CBN Film Productions
com_acfc7392,ACCENT Films
com_cf3b8f29,ADC Films
com_afb0e34b,ADHM Films
com_703c7a3c,AI-Film
com_c50317fe,AITD Productions
com_ff5d9444,AM/PM Entertainment
com_ab7f7f50,AMLF
com_92c29472,AOI Promotion
com_3db43fe5,AR Films
com_925f209e,ARD Degeto Film
com_7203926e,ARP Sélection
com_185b6218,ARTE
com_114efeff,ASIG Productions
com_3af580ea,ATO Pictures
com_e0c2ced9,AVA Films & Entertainment
com_05fc5456,AVCO Embassy Pictures
com_44f60e99,Aamir Khan Productions
com_d874fbcb,Aardman Animations
com_aa73cac7,Aaron Russo Entertainment
com_b38888e8,Aaron Spelling Productions
com_ad67fa30,Abandon Entertainment
com_bb654fab,Abandon Pictures
com_287f5ba3,Abbas Kiarostami Productions
com_6c70a376,Abbolita Productions
com_2199ad3a,Abominable Pictures
com_626a94f1,About Film
com_89a45f2c,Above All Things Inc.
com_44a253c8,Abraham Productions
com_c8c39cd4,Abramoff Production
com_0a3d020e,Acacia Filmed Entertainment
com_cd1b1593,Accent Films B.V.
com_65625e98,Access Entertainment
com_b8a79121,Ace Maker Movie Works
com_3550a62c,Acorn Pictures
com_5609855c,Act III Communications
com_9fe010e9,Action Communications
com_f4476fa0,Action Features
com_af397d2f,AdScott Pictures
com_a6632f0d,Ada Films
com_46edc0ab,Adam Packer Film Productions
com_98c77571,Adams Apple Film Company
com_68823828,Addis Wechsler Pictures
com_d991b217,Admire Productions Ltd.
com_0d71f24b,Adventure Pictures
com_90fde5ec,Affirm Films
com_2815934c,After Dark Films
com_49098c06,Agenda
com_0efae464,Aggregate Films
com_2e729cf4,Agile Films
com_b411698a,Aim
com_45ebe3bb,Ajay Devgn Ffilms
com_0521222b,Akira Committee Company Ltd.
com_36d813d9,Alacran Pictures
com_cadd2e07,Alameda Films
com_9e46fd31,Alan Enterprises
com_459b8159,Albacore Productions Inc.
com_733bff14,Albert Band International Productions Inc.
com_4fbc9a4a,Alcatraz Films
com_6212bee7,Alcon Entertainment
com_5402a0c8,Alcor Films
com_2dcf96d8,Alcove Entertainment
com_75077713,Aldamisa Entertainment
com_46803a42,Aleph Producciones S.A.
com_3bd15aac,Alexandre Films
com_d6c7a95a,Alfama Films
com_556a5da1,Alibaba Pictures
com_ccdffd72,Alicia Produce
com_037f3310,Alicéléo
com_50323b26,Alive Enterprises
com_b6ebf8d3,Alive Films
com_d1327391,Aljosha
com_229c2811,All Girl Productions
com_44e599a6,All Net Productions
com_7930cb20,Allan Zeman Productions
com_b4d242eb,Allarts
com_4d786ab6,Alleged Productions
com_e219e97e,Allegro Films
com_ce6be275,Allen Smithee Classic Films
com_05bd29b5,Alliance
com_d670e112,Alliance Atlantis Communications
com_e03e2ad4,Alliance Atlantis Motion Picture Production
com_1a075513,Alliance Communications Corporation
com_b5da346d,Alliance Entertainment
com_7e713446,Alliance Films
com_7335b11a,Alliance Films Corporation
com_c4a9e4fb,Allied Filmmakers
com_0c76182d,Allied Stars Ltd.
com_cc74ff57,Allied Vision
com_6a00da54,Allison Shearmur Productions
com_f791d39d,Alloy Entertainment
com_d3d11c78,Allspark Pictures
com_f488f3c3,Almena Films
com_0a191abf,Almost You
com_76387ba3,Alphaville Films
com_8dbda0ee,Alpilles Productions
com_d9ec2e1e,Also Known As Pictures
com_7fb7d5df,Alta Films
com_7f69a158,Altar Identity Studios
com_bbcc1297,Altavista Films
com_c681cbf3,Alter Ego Entertainment
com_95eb1f09,Alternate Current
com_90f54164,Am Psycho Productions
com_c33e6fff,Amasia Entertainment
com_9d7de9d9,Amazon Studios
com_9777782a,Amber Entertainment
com_77f07aa8,Ambience Entertainment
com_9dabc4ee,Amblimation
com_6361e181,Amblin Entertainment
com_c8ca17b6,Ambridge Film Partnership
com_e0522635,Amen Ra Films
com_4002b57d,Amercent Films
com_d092b1f0,American Cinema Productions
com_354b1b9f,American Eagle Films
com_6ee88f9b,American Empirical Pictures
com_ca61c6a1,American Entertainment Investors
com_bc7bfd92,American Entertainment Partners II L.P.
com_d9407059,American Filmworks
com_7cff4ce5,American Playhouse
com_3cafbb66,American Playhouse Theatrical Films
com_fe8c70b5,American Zoetrope
com_87b25d05,Amuse
com_ac9292d9,Amuse Soft
com_9aaaf6c1,Amusement Park Films
com_f1d114a7,An Impulsive Production
com_edecbb83,Anabasis N.V.
com_05753dfd,Anarchist's Convention Films
com_14ba9cbd,Anchor Bay Films
com_336ff62e,Andrea Sperling Productions
com_cb1edd61,Andrew Lauren Productions
com_f49eaa6c,Ang Lee Productions
com_442b0f64,Angeles
com_9ed2eb9e,Angeles Cinema Investors
com_155ef4dd,Angry Films
com_b5ebeb46,Anhelo Producciones
com_91805f68,Animal Kingdom
com_acf94acd,Animal Logic
com_e967f019,Animal Productions LLC
com_cf688cc7,Animatógrafo
com_38b4e0f2,Anna Biller Productions
com_5569c99a,Annapurna Pictures
com_7eb77430,Annapurna Productions
com_6fd6447b,Annhall
com_e766b677,Anonymous Content
com_1359194c,Antena 3 Films
com_e8078e68,Antibes Inc.
com_d2771814,Antidote Films (I)
com_1192cbe3,Antonine Films
com_d54e9d15,Antron Media Production
com_af654863,Apartment Story
com_2fd63823,Apartment Two
com_2f5dcd04,Apatow Productions
com_0afc09cc,Apeitda
com_3af6de1e,Apocalypso Pictures
com_d661cb7d,ApolloMedia Distribution
com_98e948c7,Apostle
com_c607fb4f,Appian Way
com_f0e54671,Applause Bhansali Productions
com_70bc832c,Applause Pictures
com_07f8d53a,Appledown Films Inc.
com_77ca786a,Applied Action
com_465290c4,Aquarius Films
com_7b7abbcf,Aramid Entertainment Fund
com_b1bb1f94,Arc Productions
com_efbd2f92,Arcade Pictures
com_888df452,Arcafin B.V.
com_e31b50e0,Archer Gray
com_26b40bdd,Archer Street Productions
com_cd25de54,Archerwest
com_fabbe469,Archimede
com_653bfde2,Ardican Films
com_6fa3f3da,Arena
com_87a71b4f,Arenafilm
com_a387ffb3,Argos Films
com_10aa6a11,ArieScope Pictures
com_0156ebc4,Aries Cinematográfica Argentina
com_52e7a492,Aristar Entertainment
com_55f88c76,Arka Mediaworks
com_8a49522f,Armian Pictures
com_d8dbcaee,Armory Films
com_f199a1d8,Arnold Kopelson Productions
com_3fc3b28a,Art Linson Productions
com_2f07a14a,Artbees
com_648c3133,Arte France Cinéma
com_ef6ae737,Artfire Films
com_dcddd361,Artic Productions LLC
com_221d8774,Artimm
com_51f9a532,Artisan Entertainment
com_4d347642,Artista Management
com_c9a31faa,Artistry Limited
com_7d68285b,Artists First
com_8c3d8ea2,Artists Public Domain
com_01c7ea0a,Arts Council of England
com_776cc670,Artémis Productions
com_fd5c3af7,Asahi National Broadcasting Company
com_30f6844b,Ascendant Pictures
com_1f0f298c,Ascot Film
com_2591ed03,Asghar Farhadi Productions
com_01bc7450,Asher-Grodin Productions
com_24e141ad,Ashutosh Gowariker Productions
com_4cb82844,Asia Union Film & Entertainment Ltd.
com_2252bbd2,Asmik Ace Entertainment
com_d28b31de,Aspen Film Society
com_56e93a0b,Aspen Productions (I)
com_ff69abc0,Astoria Films
com_478b756f,Astrakan Films
com_66d28b63,Astral Bellevue Pathé
com_3027a68d,Astralwerks
com_c45c158a,Astute Films
com_cff4ebcd,Asymmetrical Productions
com_8429113c,Atchafalaya
com_f17af17f,Atlantic
com_756e8259,Atlantic Entertainment Group
com_661ee742,Atlantic Pictures (II)
com_d3c69195,Atlantic Records
com_a6567816,Atlas
com_c2f11593,Atlas Entertainment
com_6dc13eec,Atlas Productions
com_ec5af4c6,Atman Entertainment
com_bf1ecfb6,Atomic Monster
com_2fadd25c,Audax Films
com_877ac52a,Audifilm
com_e443a90b,Audiovisual Aval SGR
com_87b1a5cc,"Audiovisual Development Bureau, Ministerio da Cultura"
com_5f22f473,August Entertainment
com_509e0895,Aurora
com_b4c3b3fa,Aurora Alliance Films
com_7f5274c4,Aurora Productions LLC
