director_id,name
dir_929fd196,Babak Najafi
dir_0a78e50f,Baltasar Kormákur
dir_036bd56b,Baran bo Odar
dir_b4cd595e,Barbet Schroeder
dir_2005d05a,Barbra Streisand
dir_6a5f7603,Barnet Kellman
dir_0a4da193,Barry Jenkins
dir_66b8541a,Barry Levinson
dir_33a37516,Barry Primus
dir_cda60f05,Barry Skolnick
dir_51440200,Barry Sonnenfeld
dir_373f8b5b,Barry W. Blaustein
dir_a1d34c8d,Bart Freundlich
dir_078687ea,Bart Layton
dir_cc11022d,Baz Luhrmann
dir_e33d876c,Becca Gleason
dir_31001fa1,Beeban Kidron
dir_a3e99488,Ben Affleck
dir_58b032dc,Ben Bolt
dir_11439344,Ben Falcone
dir_e1ca2cb8,Ben Lewin
dir_40d4c15b,Ben Palmer
dir_e28dd029,Ben Stiller
dir_76837bab,Ben Wheatley
dir_7a1abcde,Ben Younger
dir_1012339e,Benh Zeitlin
dir_c2d49d66,Bennett Miller
dir_f0d89e70,Benny Boom
dir_602fb21e,Benny Safdie
dir_082c5f47,Benoît Jacquot
dir_20584f8d,Bent Hamer
dir_bad15f10,Bernard Deyriès
dir_f5551654,Bernard Rose
dir_ca9f7c10,Bernardo Bertolucci
dir_5efeb730,Bernie Goldmann
dir_975e0844,Bernt Amadeus Capra
dir_cd4f1dcd,Bertrand Blier
dir_4686fdfa,Bertrand Bonello
dir_3a06ac1d,Bertrand Tavernier
dir_e14bcb17,Bethany Ashton Wolf
dir_b06bd483,Betty Kaplan
dir_c99ac12d,Betty Thomas
dir_0cebd602,Bharat Nalluri
dir_6c8d8dca,Bibo Bergeron
dir_2e9f8aad,Bigas Luna
dir_ca8a01be,Bill Bennett
dir_59eba5b9,Bill Condon
dir_9694cd4a,Bill Couturié
dir_f44d4b5c,Bill Duke
dir_18897bcb,Bill Eagles
dir_9c476a8a,Bill Fishman
dir_610364fd,Bill Forsyth
dir_30f07939,Bill Froehlich
dir_dd878657,Bill Holderman
dir_bec2becc,Bill Kroyer
dir_a2167f08,Bill Melendez
dir_f476cdbb,Bill Norton
dir_aaf9dfee,Bill Paxton
dir_bee8a4ff,Bill Persky
dir_521b1e80,Bill Pohlad
dir_58f4ddc8,Bill Sherwood
dir_376c397f,Bille August
dir_167cad85,Bille Woodruff
dir_833c3556,Billy Bob Thornton
dir_4eb7fffb,Billy Crystal
dir_5a83047b,Billy Morrissette
dir_fdd69fb8,Billy Ray
dir_711b6725,Billy Weber
dir_f77887a1,Billy Wilder
dir_94302573,Björn Runge
dir_bd2368ee,Blair Hayes
dir_c60a5cc0,Blake Edwards
dir_ca805fce,Blake Harris
dir_1c384f02,Bo Burnham
dir_5e7322b9,Bo Welch
dir_a0edd8d2,Boaz Davidson
dir_1b4d8aa8,Boaz Yakin
dir_86c6a103,Bob Balaban
dir_5e6819ab,Bob Clark
dir_3c2635e2,Bob Dolman
dir_ddf64e3d,Bob Fosse
dir_5c77de10,Bob Giraldi
dir_641ba4c2,Bob Hathcock
dir_4f8552dd,Bob Koherr
dir_b1c26b57,Bob Logan
dir_4e93978e,Bob Odenkirk
dir_07a97b1b,Bob Persichetti
dir_74ba880c,Bob Rafelson
dir_81fbc839,Bob Saget
dir_65eb7c98,Bob Spiers
dir_5134c7cb,Bob Swaim
dir_a6cdf10a,Bob Weinstein
dir_1044f803,Bobby Farrelly
dir_90d78461,Bobby Roth
dir_cea17c99,Bobcat Goldthwait
dir_dc6b5d5e,Bong Joon Ho
dir_f05a0e24,Bonnie Hunt
dir_00bb1966,Boots Riley
dir_7c96805c,Brad Anderson
dir_fbe52916,Brad Bird
dir_7dd36cb5,Brad Furman
dir_fc7a5294,Brad Peyton
dir_2fdc82d1,Brad Silberling
dir_7e0b0b5e,Bradley Cooper
dir_da5d6971,Bradley Parker
dir_a626c2f7,Brady Corbet
dir_bfc10ed7,Brandon Camp
dir_67a2e064,Breck Eisner
dir_de1131f8,Brenda Chapman
dir_6919255c,Brendan Malloy
dir_783cf63c,Brett Haley
dir_c19af3a4,Brett Leonard
dir_86c88163,Brett Ratner
dir_ce981bf9,Brian Dannelly
dir_4afb7c19,Brian De Palma
dir_f6adcf4b,Brian Fee
dir_a3094b64,Brian G. Hutton
dir_15bf2b9a,Brian Gibson
dir_842e5c2f,Brian Gilbert
dir_e39b680c,Brian Helgeland
dir_988bf66a,Brian Henson
dir_79065607,Brian Klugman
dir_5bfdd6e9,Brian Koppelman
dir_acbcb554,Brian Levant
dir_1b969314,Brian Percival
dir_0e188ab6,Brian Robbins
dir_900ad41c,Brian Yuzna
dir_3ef00e2d,Britt Allcroft
dir_bb5b0005,Britt Poulton
dir_8134d105,Bronwen Hughes
dir_941d423e,Bruce A. Evans
dir_8fbb493f,Bruce Beresford
dir_6b49c982,Bruce Hunt
dir_c99ad6af,Bruce Joel Rubin
dir_42c53b73,Bruce Malmuth
dir_1814fe9a,Bruce McCulloch
dir_930d1878,Bruce McDonald
dir_3d6004de,Bruce Paltrow
dir_bdd60ec6,Bruce Pittman
dir_92cc9c98,Bruce Robinson
dir_d30d1fb3,Bruce W. Smith
dir_f2b42455,Bruno Barreto
dir_4f8cb70a,Bruno Dumont
dir_e38e9a54,Bruno Nuytten
dir_861ac356,Bryan Bertino
dir_8bae7a6a,Bryan Buckley
dir_9bf33971,Bryan Forbes
dir_f6d696dc,Bryan Gordon
dir_0f2c566f,Bryan Singer
dir_81ba5f39,Bryan Spicer
dir_95e2d7fb,Buck Henry
dir_0370beb1,Bud S. Smith
dir_fc11b7bf,Bud Yorkin
dir_03db8413,Buddy Van Horn
dir_b3d98505,Burr Steers
dir_aaa49400,Burt Kennedy
dir_25ad5198,Burt Reynolds
dir_4cd65d8c,Byeong-heon Lee
dir_bc58dbaa,Byron Howard
dir_d043db49,Byron Quisenberry
dir_2c29674c,Byung-gil Jung
dir_fd92e0c4,Béla Tarr
dir_fb1b3c12,C. Jay Cox
dir_cad8c87b,Cal Brunker
dir_61a362ca,Caleb Deschanel
dir_e1dd8eda,Callie Khouri
dir_77dc7f17,Cameron Crowe
dir_149a4387,Camille Delamarre
dir_3376f824,Camilo Vila
dir_02aa95c6,Campbell Scott
dir_ae345a5a,Carl Franklin
dir_aac25e60,Carl Gottlieb
dir_c5582470,Carl Reiner
dir_11f07d94,Carl Rinsch
dir_6081cdda,Carl Schenkel
dir_3af087ac,Carl Schultz
dir_2521277e,Carles Torrens
dir_d933b6ed,Carlo Carlei
dir_75b5b311,Carlos López Estrada
dir_fa3e3453,Carlos Reygadas
dir_644f6df8,Carlos Saldanha
dir_d3ef2cdd,Carol Morley
dir_89a8307d,Caroline Huppert
dir_5be9e608,Caroline Link
dir_2d668bb1,Caroline Thompson
dir_6962d95c,Carroll Ballard
dir_57509970,Carter Smith
dir_b48bf121,Cary Joji Fukunaga
dir_523c02b1,Cary Medoway
dir_391e9d73,Cary Parker
dir_797fdfa9,Casey Affleck
dir_95bcedba,Casey La Scala
dir_66204aec,Cate Shortland
dir_4589a24c,Catherine Breillat
dir_a90e4b22,Catherine Corsini
dir_71cc9b30,Catherine Hardwicke
dir_4249d78c,Cathy Malkasian
dir_c32d0bd2,Cathy Yan
dir_2bb4b406,Cedric Nicolas-Troyan
dir_25437e6a,Cedric Sundstrom
dir_2dccc36c,Chad Stahelski
dir_4436dd9b,Chang-dong Lee
dir_5f1dc068,Charles Band
dir_a58bd0c8,Charles Burnett
dir_01cdaee3,Charles Crichton
dir_a0988200,Charles Dance
dir_150910c7,Charles E. Sellier Jr.
dir_d8a01dd4,Charles Grosvenor
dir_58c33907,Charles Guard
dir_d327b74a,Charles Haid
dir_59ffe608,Charles Herman-Wurmfeld
dir_e78078a9,Charles Jarrott
dir_f82662be,Charles Martin Smith
dir_f7ce25b8,Charles Shyer
dir_d175f6af,Charles Stone III
dir_0f78fa9f,Charles Sturridge
dir_b234c847,Charles T. Kanganis
dir_82b41ca5,Charlie Bean
dir_b1b0f77e,Charlie Kaufman
dir_d80765f6,Charlie Loventhal
dir_22b732b6,Charlie McDowell
dir_bb839feb,Charlie Peters
dir_81bebe4a,Charlie Stratton
dir_09d397d0,Cheech Marin
dir_9ceb11b8,Cheryl Hines
dir_b19086bf,Chia-Liang Liu
dir_86f949b4,Chloé Zhao
dir_717ed9a2,Chris Addison
dir_3a0da764,Chris Buck
dir_89b57cf3,Chris Butler
dir_404e251c,Chris Carter
dir_63479b79,Chris Columbus
dir_eaf2e52b,Chris Evans
dir_77cb5a98,Chris Eyre
dir_37320743,Chris Gorak
dir_519eb1f2,Chris Kentis
dir_ff0ea521,Chris Koch
dir_59bf652e,Chris McKay
dir_e63bf37a,Chris Menges
dir_d8d9a12b,Chris Miller
dir_3792382e,Chris Nahon
dir_127adcfe,Chris Noonan
dir_624bb95a,Chris Peckover
dir_4c77cf42,Chris Renaud
dir_4192f04e,Chris Roberts
dir_75923349,Chris Robinson
dir_fb8a69f1,Chris Rock
dir_e3425835,Chris Sanders
dir_df21053d,Chris Sivertson
dir_b04d01ed,Chris Stokes
dir_f1aa6915,Chris Walas
dir_0348aa18,Chris Wedge
dir_294c4075,Chris Weitz
dir_514ce5e7,Christian Alvart
dir_bb5e756e,Christian Carion
dir_c456cee1,Christian Ditter
dir_375fd12b,Christian Duguay
dir_0b10a431,Christian E. Christiansen
dir_ef5a7f17,Christian Gudegast
dir_3587e191,Christian Rivers
dir_19e66ca6,Christian Vincent
dir_de4b44b2,Christine Edzard
dir_708a987d,Christine Jeffs
dir_eeaa65fa,Christophe Barratier
dir_d8d71ef4,Christophe Gans
dir_02081bda,Christophe Honoré
dir_fb586390,Christopher Ashley
dir_5e4823bc,Christopher Cain
dir_b0f40e72,Christopher Coppola
dir_82c77cfd,Christopher Crowe
dir_9bb0b7c9,Christopher Erskin
dir_179b221a,Christopher Guest
dir_a8af8053,Christopher Landon
dir_4460a9eb,Christopher Leitch
dir_a00b02c5,Christopher McQuarrie
dir_f2ab3418,Christopher Miller
dir_c3be3f76,Christopher Monger
dir_60acaddd,Christopher Morahan
dir_c2d1ca25,Christopher Morris
dir_28647c51,Christopher Nolan
dir_9a3d4d19,Christopher Smith
dir_40ab0acb,Chuck Barris
dir_87ab1f8f,Chuck Konzelman
dir_42b35d26,Chuck Parello
dir_ef94700a,Chuck Russell
dir_434e2326,Chuck Sheetz
dir_b306d3ec,Ciarán Foy
dir_2ac8c889,Cirio H. Santiago
dir_167d0f79,Claire Denis
dir_bd99f0a1,Claire McCarthy
dir_060076c9,Clare Kilner
dir_869e948d,Clare Peploe
dir_8202812c,Clarence Fok
dir_1d67f2d7,Clark Gregg
dir_b476729d,Clark Johnson
dir_3207c4fd,Claude Berri
dir_a999901b,Claude Chabrol
dir_817bd7ff,Claude Lelouch
dir_9a05fe56,Claude Sautet
dir_2194438a,Claude Zidi
dir_02f7ed3e,Claudia Weill
dir_5e49b8a8,Claudio Giovannesi
dir_c6370683,Clay Kaytis
dir_b84954cb,Clint Eastwood
dir_dc0766ec,Clive Barker
dir_893c5c03,Clive Donner
dir_fe01e130,Clive Smith
dir_d172d0b7,Cody Cameron
dir_b11e167e,Colette Burson
dir_e54aa6d7,Colin Brady
dir_4a7a05a6,Colin Higgins
dir_78a5a342,Colin Nutley
dir_5382e3da,Colin Strause
dir_41bae583,Colin Trevorrow
dir_bbc4f80a,Coline Serreau
dir_98741ce9,Coralie Fargeat
dir_a3b3bb46,Corey Yuen
dir_386d95b3,Corin Hardy
dir_544db676,Cory Edwards
dir_b8d3493b,Cory Finley
dir_dba28345,Costa-Gavras
dir_2c615e2d,Courteney Cox
dir_e8698d0e,Courtney Hunt
dir_446e7858,Courtney Solomon
dir_8d66d736,Craig Bolotin
dir_4050203c,Craig Brewer
dir_255b1cb1,Craig Gillespie
dir_2ce3d163,Craig Mazin
dir_772788fe,Craig R. Baxley
dir_033bf210,Craig Zobel
dir_820c6004,Crispian Mills
dir_bf7a05fc,Cristian Mungiu
dir_c9d61ee7,Curtis Hanson
dir_4c2d04c4,Cynthia Scott
dir_0e476594,Cédric Kahn
dir_d3ea6e56,Cédric Klapisch
dir_6bee4e96,Céline Sciamma
dir_e59fd826,D.J. Caruso
dir_b0098ef1,DJ Pooh
dir_d9c4c4ac,Daisy von Scherler Mayer
dir_91db82e4,Dale Launer
dir_10df76b6,Dale Rosenbloom
dir_dc6c0947,Dale Schott
dir_07abb029,Dallas Jenkins
dir_0486071a,Damian Harris
dir_ec9667a3,Damian Nieman
dir_304dc766,Damiano Damiani
dir_42f85e2e,Damien Chazelle
dir_4e671bdf,Damien O'Donnell
dir_4f7187b7,Damián Szifron
dir_82885ef5,Damon Santostefano
dir_f255efdf,Dan Aykroyd
dir_8d7226ce,Dan Bradley
dir_a3ee7ad5,Dan Fogelman
dir_d9024863,Dan Gilroy
dir_c8d41108,Dan Ireland
dir_80b8f505,Dan Kwan
dir_b492a9cd,Dan Mazer
dir_e0828c53,Dan O'Bannon
dir_ae69afee,Dan Rush
dir_b674a986,Dan Scanlon
dir_9acfa0f5,Dan Trachtenberg
dir_4813373e,Daniel Alfredson
dir_d1f5ffc1,Daniel Algrant
dir_7a0a0be8,Daniel Attias
dir_e96651fc,Daniel Barber
dir_4faf8fd3,Daniel Barnz
dir_fb768c9c,Daniel Espinosa
dir_bb224dff,Daniel Goldberg
dir_e125a797,Daniel Lee
dir_db99a627,Daniel Myrick
dir_ed6a1eae,Daniel Nettheim
dir_07fa121c,Daniel Petrie
dir_0f582e0c,Daniel Petrie Jr.
dir_2b9b2dab,Daniel Sackheim
dir_ac7f8b67,Daniel Schechter
dir_10b7a697,Daniel Stamm
dir_998935b5,Daniel Stern
dir_eb4ed18e,Daniel Vigne
dir_97c6e90b,Daniel Waters
dir_487c6398,Danis Tanovic
dir_11dc39a2,Danny Boyle
dir_a3a345f4,Danny Cannon
dir_82f39357,Danny DeVito
dir_48a022f4,Danny Leiner
dir_f52931f1,Danny Pang
dir_e5d75312,Danny Steinmann
dir_4e4ccb9c,Dario Argento
dir_a22bf56f,Darnell Martin
dir_83339cc3,Darrell Roodt
dir_dce306f3,Darren Aronofsky
dir_d501f04b,Darren Grant
dir_fc458cb9,Darren Lynn Bousman
dir_2cc36e37,Darren Stein
dir_b2f98fe8,Daryl Duke
dir_069617ea,Dave Filoni
dir_928035be,Dave Green
dir_44f72719,Dave McKean
dir_949427c9,Dave Meyers
dir_4c6c92e0,Dave Thomas
dir_f4280fc3,David Anspaugh
dir_012168ad,David Atkins
dir_4a06f2aa,David Ayer
dir_3e2134cf,David Beaird
dir_47117180,David Bowers
dir_27bbef3f,David Byrne
dir_a9569675,David Carson
dir_240d0a8b,David Chase
dir_3a6fe23b,David Cronenberg
dir_1f2b011d,David DeCoteau
dir_5a005233,David Dobkin
dir_6a3bce24,David Drury
dir_9d76f72a,David Evans
dir_59f0304e,David F. Sandberg
dir_d750e4e9,David Farr
dir_db2e10b4,David Fincher
dir_f7b6b89f,David Frankel
dir_a864e259,David Gelb
dir_49cc4589,David Gordon Green
dir_2716714e,David Green
dir_183af7d8,David Greenwalt
dir_9e771d43,David Hackl
dir_f86b604b,David Hare
dir_1464afd4,David Hillenbrand
dir_ba6fa676,David Hogan
dir_c188ff66,David Hugh Jones
dir_2cf98a82,David Jacobson
dir_c94d00cc,David Keith
dir_72b98730,David Kellogg
dir_1594c885,David Kerr
dir_3e52fcca,David Koepp
dir_1fb8f562,David L. Cunningham
dir_0585ac5d,David L. Hunt
dir_cd165f6c,David Lean
dir_cd9275d2,David Leitch
dir_4249f5c0,David Leland
dir_edd4cd2e,David Leveaux
dir_9418db19,David Lowery
dir_1da2bb36,David Lynch
dir_43fb41b9,David Mackenzie
dir_f89f123b,David Mamet
dir_5a8ea847,David McNally
dir_d088399c,David Michôd
dir_80410836,David Mickey Evans
dir_e8d4977a,David Mirkin
dir_3e1f2a5e,David Moreau
dir_9a7206b5,David Moreton
dir_54206aa3,David Nelson
dir_5d0e599e,David Nutter
dir_6998a8cf,David O. Russell
dir_c69c2ad1,David Odell
dir_53b56318,David Palmer
dir_e41ae963,David Pastor
dir_698e2a61,David Price
dir_7cb50abe,David R. Ellis
dir_f7820110,David Raynr
dir_f8c70e03,David Robert Mitchell
dir_9ed8ac7f,David Ross
dir_a0ea0818,David S. Goyer
dir_6f34fb31,David S. Ward
dir_f9c9600d,David Schmoeller
dir_3b67afcd,David Schwimmer
dir_5ffd4f76,David Seltzer
dir_7514f861,David Silverman
dir_f7453dee,David Slade
dir_f11df07a,David Soren
dir_3b18e620,David Steinberg
dir_ce650ef9,David Stevens
dir_effb5940,David Stuart Snell
dir_4f9e5e45,David Twohy
dir_47ebcfa5,David Veloz
dir_1c64c70a,David Von Ancken
dir_28d91815,David Wain
dir_3344d00c,David Webb Peoples
dir_1e681a93,David Yarovesky
dir_d0246a34,David Yates
dir_7ae0182b,David Zucker
dir_81b8acee,Davis Guggenheim
dir_ac1629ce,Dax Shepard
dir_0802ef1c,Dean DeBlois
dir_604cd533,Dean Devlin
dir_fe3ef20b,Dean Israelite
dir_9b1fa6f0,Dean Parisot
dir_9b95c2a6,Dean Semler
dir_43741e35,Deborah Kampmeier
dir_05cc36ab,Debra Granik
dir_7744bf1e,Declan Donnellan
dir_6eae58c5,Del Shores
dir_edabd293,Delbert Mann
dir_2995d90e,Demian Lichtenstein
dir_162d10ca,Denis Villeneuve
dir_860df30b,Denise Di Novi
dir_0cc7311b,Deniz Gamze Ergüven
dir_745af33c,Dennie Gordon
dir_d74a5424,Dennis Dugan
dir_9afb2aa6,Dennis Feldman
dir_9ffd2ff0,Dennis Gansel
dir_ba3d0696,Dennis Hopper
dir_a79293ed,Dennis Iliadis
dir_d44f1114,Denys Arcand
dir_d1cefea0,Denzel Washington
dir_a852a046,Deon Taylor
dir_283b962a,Deran Sarafian
dir_b373c3a6,Derek Cianfrance
dir_5be1d625,Derek Jarman
dir_2e5862c7,Derrick Borte
dir_c3ce53f7,Des McAnuff
dir_8921dd25,Desiree Akhavan
dir_4a0e9f97,Desmond Davis
dir_9a096e6c,Desmond Nakano
dir_41acf0f0,Destin Daniel Cretton
dir_086cc4e5,Dewey Nicks
dir_a967ea62,Dexter Fletcher
dir_3c809f9e,Diane English
dir_5bf5ba49,Diane Keaton
dir_da165e3b,Diane Kurys
dir_b413c8ef,Dick Clement
dir_d206f0a4,Dick Lowry
dir_10725959,Dick Richards
dir_9ea7f923,Diederik Van Rooijen
dir_7c5ba892,Director
dir_fcfa59bd,Director X.
dir_a81d7a07,Directors
dir_781f18ac,Dito Montiel
dir_98a22185,Djibril Diop Mambéty
dir_f8de986f,Dome Karukoski
dir_1c848b58,Dominic Anciano
dir_f76cfcc5,Dominic Cooke
dir_edb20042,Dominic Orlando
dir_9864e5d8,Dominic Sena
dir_0104e325,Dominique Othenin-Girard
dir_9389859b,Don Bluth
dir_6937db63,Don Coscarelli
dir_5f17b0a7,Don Hall
dir_88f2884c,Don Mancini
dir_9f32516d,Don McKellar
dir_d6f95c8e,Don Michael Paul
dir_18ba2263,Don Roos
dir_6ef44351,Don Scardino
dir_754ba27c,Don Siegel
dir_87e93cd8,Don Taylor
dir_d4d0676b,Donald Cammell
dir_33cb882f,Donald Petrie
dir_19ba5c1e,Donald Shebib
dir_2c266a28,Donna Deitch
dir_eafb3472,Donovan Marsh
dir_83f2aebf,Dorian Walker
dir_4ce45038,Dorota Kobiela
dir_818d116a,Dorothy Ann Puzo
dir_1c071ff9,Doug Atchison
dir_8c7c103d,Doug Ellin
dir_d59caf86,Doug Lefler
dir_80e86efd,Doug Liman
dir_6e76ac02,Doug McHenry
dir_1ac1877f,Douglas Aarniokoski
dir_686338a0,Douglas Cheek
dir_8c532f49,Douglas Day Stewart
dir_4b8d944e,Douglas McGrath
dir_a7ba4909,Douglas Trumbull
dir_283e62f4,Drake Doremus
dir_7fb134b0,Drew Barrymore
dir_dbf4256a,Drew Cullingham
dir_acee1052,Drew Goddard
dir_dc0120ac,Drew Pearce
dir_8c34412b,Duke Johnson
dir_ae19a2c2,Duncan Gibbins
dir_7d25b7e3,Duncan Jones
dir_0cf4b6ba,Duncan Skiles
dir_ab48f6ca,Duncan Tucker
dir_fe2aa3fd,Dustin Hoffman
dir_f4044cd2,Dusty Dukatz
