director_id,name
dir_ce88781e,A.R. Murugadoss
dir_a0bc3cd5,Aamir Khan
dir_05567fb7,Aaron Blaise
dir_344e08ee,Aaron Norris
dir_dfcaca22,Aaron Seltzer
dir_efd64959,Aaron Sorkin
dir_bf67761c,Abbas Kiarostami
dir_853d0159,Abby Kohn
dir_acf320cd,Abdellatif Kechiche
dir_e0803984,Abe Sylvia
dir_d5177f3d,Abel Ferrara
dir_19d87597,Abhishek Chaubey
dir_6c018a36,Abhishek Varman
dir_24af46ec,Adam Bernstein
dir_dffce187,Adam Brooks
dir_73c1a5dc,Adam Green
dir_517272c6,Adam Marcus
dir_c5225999,Adam McKay
dir_82c06895,Adam Resnick
dir_fe454f30,Adam Rifkin
dir_eae4cdd1,Adam Robitel
dir_a776203d,Adam Shankman
dir_e4ff175b,Adam Simon
dir_90bf60bb,Adam Wingard
dir_9d452713,Adil El Arbi
dir_6fe01cc2,Adrian Grunberg
dir_f4f0a79f,Adrian Lyne
dir_b2b51ce9,Adriana Trigiani
dir_12b54a1a,Adrienne Shelly
dir_7e8bc323,Agnieszka Holland
dir_4fbd9ad1,Agnieszka Smoczynska
dir_ffe94a27,Agnieszka Wojtowicz-Vosloo
dir_592c66fd,Aharon Keshales
dir_30e785ec,Akira Kurosawa
dir_5b24e308,Akiv Ali
dir_c29dfdfd,Akiva Goldsman
dir_9dfaa4a7,Akiva Schaffer
dir_0073f258,Alain Chabat
dir_dac67433,Alain Corneau
dir_5cff8e0d,Alan Alda
dir_1c9a534a,Alan Ball
dir_c282be13,Alan Clarke
dir_987dc07c,Alan Cohn
dir_e96b1bde,Alan Cumming
dir_b9e5fbae,Alan J. Pakula
dir_1ee5c15b,Alan Johnson
dir_994b0934,Alan Mehrez
dir_df0effca,Alan Metter
dir_0b29d1c7,Alan Myerson
dir_31d71ec5,Alan Parker
dir_3de29f47,Alan Poul
dir_deaa738e,Alan Rickman
dir_d5bb2ace,Alan Rudolph
dir_b8aaeb60,Alan Shapiro
dir_409b2a45,Alan Taylor
dir_5ec668dd,Albert Brooks
dir_8fa8cb71,Albert Hughes
dir_a656cff5,Albert Magnoli
dir_dcf2a3ed,Albert Pyun
dir_30538821,Alejandro Agresti
dir_335c4375,Alejandro Amenábar
dir_793049b3,Alejandro G. Iñárritu
dir_df75b6ec,Alek Keshishian
dir_a6cb0b7c,Aleksander Bach
dir_67c41ea2,Aleksandr Sokurov
dir_cd1bf916,Alessandro Carloni
dir_d9e36496,Alex Cox
dir_8a3f84fb,Alex Garland
dir_880683b8,Alex Gregory
dir_732e596d,Alex Kendrick
dir_93effa5f,Alex Kurtzman
dir_6b7ddc8e,Alex Proyas
dir_fb665eff,Alex Ranarivelo
dir_b753974a,Alexander Payne
dir_06267387,Alexander Witt
dir_f972f99a,Alexandre Aja
dir_96d25136,Alexandre Rockwell
dir_8e855e77,Alfonso Arau
dir_d60993df,Alfonso Cuarón
dir_c946ced1,Alfonso Gomez-Rejon
dir_0f076d8c,Ali Abbas Zafar
dir_e3242aa8,Ali Abbasi
dir_a34d7621,Alice Wu
dir_b0bed643,Alison Maclean
dir_d6c36a07,Alister Grierson
dir_b59ece6e,Allan A. Goldstein
dir_e9fdee43,Allan Arkush
dir_f5384923,Allan Burns
dir_b8f53642,Allan King
dir_1340ef8e,Allan Moyle
dir_d32c1e65,Allen Coulter
dir_7be3bcbb,Allen Hughes
dir_0d754ac6,Allison Anders
dir_2d0066bc,Amat Escalante
dir_ea353017,Ami Canaan Mann
dir_42aa535f,Amma Asante
dir_7a58338c,Amy Heckerling
dir_71a38a97,Amy Holden Jones
dir_929a4dad,Ana Lily Amirpour
dir_18eb67a0,Anand Tucker
dir_29b2ff00,Anders Thomas Jensen
dir_97395d71,Andoy Ranay
dir_d2007209,Andrea Arnold
dir_d7ad7aa1,Andrea Berloff
dir_ba3bea0f,Andrei Tarkovsky
dir_4e3fb7de,Andrew Adamson
dir_9f98db2d,Andrew Bergman
dir_56d2e3c7,Andrew Birkin
dir_738515ee,Andrew Black
dir_fe7728ed,Andrew Davis
dir_00a502d9,Andrew Dominik
dir_cb984ada,Andrew Douglas
dir_46b136e8,Andrew Erwin
dir_9ac364b7,Andrew Fleming
dir_3714bf04,Andrew Haigh
dir_99c6dffa,Andrew Jarecki
dir_1cf37aef,Andrew Jay Cohen
dir_72ab560e,Andrew Lane
dir_ee64a567,Andrew Lau
dir_7500f71c,Andrew Morahan
dir_6011e664,Andrew Neel
dir_d2e89094,Andrew Niccol
dir_4ce80a0b,Andrew Scheinman
dir_f3967b59,Andrew Sipes
dir_2add0c23,Andrew Stanton
dir_27deb527,Andrew V. McLaglen
dir_cb73155c,Andrey Konchalovskiy
dir_37163438,Andrey Zvyagintsev
dir_1d4ee28c,Andrzej Bartkowiak
dir_58c74005,Andrzej Zulawski
dir_03f93cbf,André Øvredal
dir_19e22d48,Andy Cadiff
dir_952bb813,Andy Fickman
dir_0b5ec02b,Andy Garcia
dir_7171e7c9,Andy Muschietti
dir_0cca18ed,Andy Serkis
dir_f932bab7,Andy Tennant
dir_6639b5a2,Andy Wilson
dir_0d536ea6,Andy Wolk
dir_4f6372cb,Aneesh Chaganty
dir_5f992925,Aneesh Daniel
dir_ee2ec6d3,Ang Lee
dir_e87c8dce,Angela Robinson
dir_4a70176c,Angelina Jolie
dir_f1be66c3,Anh Hung Tran
dir_d6ecd17c,Aniruddha Roy Chowdhury
dir_e05040b3,Anna Biller
dir_9ba7ea9d,Anna Boden
dir_f97b51c8,Anna Foerster
dir_4f6b82da,Annabel Jankel
dir_532253b1,Anne Bancroft
dir_a85c8607,Anne Fletcher
dir_1104d5e7,Anne Fontaine
dir_2b418a03,Anne Wheeler
dir_5cf84968,Annette Haywood-Carter
dir_28088fab,Anthony Abrams
dir_611fb71d,Anthony Drazan
dir_91ed63cd,Anthony Hemingway
dir_dd22bc53,Anthony Hickox
dir_ae119586,Anthony Maras
dir_1c23f3ce,Anthony Minghella
dir_83965122,Anthony Perkins
dir_e6d15c21,Anthony Russo
dir_7e3137ed,Anthony Waller
dir_df7b46ce,Antoine Fuqua
dir_39efd7e0,Antoinette Jadaone
dir_0a52ceb6,Anton Corbijn
dir_85b980c8,Antonia Bird
dir_5481cade,Antonio Banderas
dir_811d48af,Antonio Margheriti
dir_6f5de7c4,Antony Hoffman
dir_43c295fa,Anurag Basu
dir_ca59ec65,Anurag Kashyap
dir_d8b4097e,Apichatpong Weerasethakul
dir_35388693,Ari Aster
dir_923ac623,Ari Folman
dir_62d8efba,Ari Sandel
dir_eeaf27fd,Arie Posin
dir_605c45fa,Ariel Vromen
dir_c82449a5,Ariel Winograd
dir_78039f0a,Arlene Sanford
dir_6874c991,Armando Iannucci
dir_a27fccd9,Armyan Bernstein
dir_515874a4,Arna Selznick
dir_56308d10,Arnaud Desplechin
dir_9f95fc01,Arne Glimcher
dir_b7d8b48b,Art Linson
dir_3bcbb7e7,Arthur Allan Seidelman
dir_f8829aea,Arthur Hiller
dir_b55bf656,Arthur Penn
dir_fabc8bb0,Asger Leth
dir_b7f4fda3,Asghar Farhadi
dir_123c0182,Ash Avildsen
dir_19a9e686,Ash Brannon
dir_f0501251,Ashutosh Gowariker
dir_ac2277b5,Asia Argento
dir_b925b108,Ate de Jong
dir_3ad4dd14,Atom Egoyan
dir_a9e7ad3e,Audrey Wells
dir_408fe223,Austin Chick
dir_0b5f01e6,Ava DuVernay
dir_1082b80d,Avi Nesher
dir_fd342b70,Ayan Mukherjee
dir_55ac7abf,Babak Anvari
